Number,Profit,Margin,Sales,COGS,Total Expenses,Marketing,Inventory,ProductId,State,Market,Market Size,Product Type,Product,Type
44,99,171,341,170,72,47,1091,5,Wisconsin,Central,Small Market,Espresso,Caffe Mocha,Regular
45,29,48,80,32,19,8,456,8,California,West,Major Market,Espresso,Decaf Espresso,Decaf
46,29,48,80,32,19,8,821,9,Missouri,Central,Small Market,Espresso,Regular Espresso,Regular
47,68,126,210,84,58,27,651,11,Ohio,Central,Major Market,Herbal Tea,Chamomile,Decaf
48,13,66,120,54,53,20,312,1,Washington,West,Small Market,Herbal Tea,Lemon,Decaf
49,9,111,190,79,102,72,551,2,Texas,South,Major Market,Herbal Tea,Mint,Decaf
50,51,103,180,77,52,25,432,3,Texas,South,Major Market,Tea,Darjeeling,Regular
51,7,105,180,75,98,68,522,12,Utah,West,Small Market,Tea,Earl Grey,Regular
52,34,62,110,48,28,15,623,6,Ohio,Central,Major Market,Tea,Green Tea,Regular
53,38,81,150,69,43,21,965,5,Texas,South,Major Market,Coffee,Amaretto,Regular
54,70,113,180,67,43,20,400,8,Connecticut,East,Small Market,Coffee,Columbian,Regular
55,28,48,81,33,20,9,777,9,Oregon,West,Small Market,Coffee,Decaf Irish Cream,Decaf
56,47,89,150,61,42,19,390,11,Louisiana,South,Small Market,Espresso,Caffe Latte,Regular
57,47,73,123,50,26,14,821,11,New Mexico,South,Small Market,Espresso,Caffe Mocha,Regular
58,35,56,94,38,21,10,777,13,Massachusetts,East,Major Market,Espresso,Decaf Espresso,Decaf
59,30,75,130,55,45,18,312,6,Washington,West,Small Market,Espresso,Regular Espresso,Regular
60,7,105,180,75,98,68,522,5,California,West,Major Market,Herbal Tea,Chamomile,Decaf
61,115,186,310,124,71,40,961,2,Texas,South,Major Market,Herbal Tea,Lemon,Decaf
62,40,105,190,85,65,32,494,9,Ohio,Central,Major Market,Herbal Tea,Mint,Decaf
63,47,92,170,78,45,24,965,10,Iowa,Central,Small Market,Tea,Darjeeling,Regular
64,28,48,80,32,20,8,821,11,New York,East,Major Market,Tea,Earl Grey,Regular
65,28,48,81,33,20,9,777,13,New York,East,Major Market,Tea,Green Tea,Regular
66,50,103,180,77,53,25,432,6,California,West,Major Market,Coffee,Amaretto,Regular
67,9,111,190,79,102,72,551,5,Oregon,West,Small Market,Coffee,Columbian,Regular
68,67,116,200,84,49,26,500,3,California,West,Major Market,Coffee,Decaf Irish Cream,Decaf
69,68,126,210,84,58,27,651,2,Florida,East,Major Market,Espresso,Caffe Latte,Regular
70,34,62,110,48,28,15,623,8,California,West,Major Market,Espresso,Caffe Mocha,Regular
71,13,66,120,54,53,20,312,9,Iowa,Central,Small Market,Espresso,Decaf Espresso,Decaf
72,39,81,150,69,42,21,965,10,Ohio,Central,Major Market,Espresso,Regular Espresso,Regular
73,29,48,80,32,19,8,821,11,Missouri,Central,Small Market,Herbal Tea,Chamomile,Decaf
74,29,48,80,32,19,8,456,13,Oklahoma,South,Small Market,Herbal Tea,Lemon,Decaf
75,100,171,341,170,71,47,1091,7,New York,East,Major Market,Herbal Tea,Mint,Decaf
76,-23,63,126,63,86,57,435,5,New Hampshire,East,Small Market,Tea,Darjeeling,Regular
77,367,422,494,72,55,23,558,2,New York,East,Major Market,Tea,Earl Grey,Regular
78,17,72,130,58,55,22,338,9,Wisconsin,Central,Small Market,Tea,Green Tea,Regular
79,10,27,45,18,17,5,821,11,Ohio,Central,Major Market,Coffee,Amaretto,Regular
80,11,26,43,17,15,4,777,13,Massachusetts,East,Major Market,Coffee,Columbian,Regular
81,-8,36,65,29,44,11,169,7,Illinois,Central,Major Market,Coffee,Decaf Irish Cream,Decaf
82,-10,53,90,37,63,34,261,5,California,West,Major Market,Espresso,Caffe Latte,Regular
83,20,55,93,38,35,12,241,1,California,West,Major Market,Espresso,Caffe Mocha,Regular
84,25,72,120,48,47,15,372,2,Illinois,Central,Major Market,Espresso,Decaf Espresso,Decaf
85,-4,42,76,34,46,12,197,9,New York,East,Major Market,Espresso,Regular Espresso,Regular
86,101,139,234,95,38,26,821,11,Missouri,Central,Small Market,Herbal Tea,Chamomile,Decaf
87,94,130,219,89,36,24,777,12,Iowa,Central,Small Market,Herbal Tea,Lemon,Decaf
88,54,80,134,54,26,15,456,13,New York,East,Major Market,Herbal Tea,Mint,Decaf
89,175,262,490,228,87,63,1459,7,California,West,Major Market,Tea,Darjeeling,Regular
90,-172,-44,61,105,128,95,725,5,Missouri,Central,Small Market,Tea,Earl Grey,Regular
91,262,407,678,271,145,94,2101,2,California,West,Major Market,Tea,Green Tea,Regular
92,111,238,483,245,127,93,1419,9,Texas,South,Major Market,Coffee,Amaretto,Regular
93,-113,-27,180,207,86,64,965,10,Nevada,West,Small Market,Coffee,Columbian,Regular
94,70,113,180,67,43,20,400,5,California,West,Major Market,Coffee,Decaf Irish Cream,Decaf
95,48,89,150,61,41,19,390,6,Illinois,Central,Major Market,Espresso,Caffe Latte,Regular
96,35,63,112,49,28,16,623,8,Iowa,Central,Small Market,Espresso,Caffe Mocha,Regular
97,40,105,190,85,65,32,494,9,Texas,South,Major Market,Espresso,Decaf Espresso,Decaf
98,8,105,180,75,97,68,522,4,California,West,Major Market,Espresso,Regular Espresso,Regular
99,30,51,85,34,21,9,777,2,Wisconsin,Central,Small Market,Herbal Tea,Chamomile,Decaf
100,28,48,81,33,20,9,777,3,New York,East,Major Market,Herbal Tea,Lemon,Decaf
101,-10,53,90,37,63,34,261,5,New York,East,Major Market,Herbal Tea,Mint,Decaf
102,9,47,82,35,38,11,196,6,Colorado,Central,Major Market,Tea,Darjeeling,Regular
103,11,27,45,18,16,5,821,8,Colorado,Central,Major Market,Tea,Earl Grey,Regular
104,4,34,62,28,30,8,965,9,Florida,East,Major Market,Tea,Green Tea,Regular
105,-8,36,65,29,44,11,169,4,Ohio,Central,Major Market,Coffee,Amaretto,Regular
106,26,72,120,48,46,15,372,2,Florida,East,Major Market,Coffee,Columbian,Regular
107,-39,11,99,88,50,27,525,3,California,West,Major Market,Coffee,Decaf Irish Cream,Decaf
108,28,48,80,32,20,8,456,5,Florida,East,Major Market,Espresso,Caffe Latte,Regular
109,67,126,210,84,59,27,651,6,Illinois,Central,Major Market,Espresso,Caffe Mocha,Regular
110,13,66,120,54,53,20,312,8,Massachusetts,East,Major Market,Espresso,Decaf Espresso,Decaf
111,10,111,190,79,101,72,551,9,Nevada,West,Small Market,Espresso,Regular Espresso,Regular
112,66,116,200,84,50,26,500,4,Massachusetts,East,Major Market,Herbal Tea,Chamomile,Decaf
113,29,56,100,44,27,14,623,2,Florida,East,Major Market,Herbal Tea,Lemon,Decaf
114,28,48,80,32,20,8,821,3,Utah,West,Small Market,Herbal Tea,Mint,Decaf
115,95,130,219,89,35,24,777,5,California,West,Major Market,Tea,Darjeeling,Regular
116,54,80,134,54,26,15,456,6,Texas,South,Major Market,Tea,Earl Grey,Regular
117,33,80,140,60,47,19,336,8,Florida,East,Major Market,Tea,Green Tea,Regular
118,42,83,140,57,41,18,364,9,Illinois,Central,Major Market,Coffee,Amaretto,Regular
119,53,108,180,72,55,23,558,4,Missouri,Central,Small Market,Coffee,Columbian,Regular
120,159,245,452,207,86,64,965,2,Texas,South,Major Market,Coffee,Decaf Irish Cream,Decaf
121,68,107,190,83,39,27,623,3,California,West,Major Market,Espresso,Caffe Latte,Regular
122,44,68,114,46,24,12,777,4,Texas,South,Major Market,Espresso,Caffe Mocha,Regular
123,34,63,112,49,29,16,623,5,California,West,Major Market,Espresso,Decaf Espresso,Decaf
124,47,73,123,50,26,14,821,6,Texas,South,Major Market,Espresso,Regular Espresso,Regular
125,21,55,93,38,34,12,241,8,New York,East,Major Market,Herbal Tea,Chamomile,Decaf
126,25,72,120,48,47,15,372,9,Illinois,Central,Major Market,Herbal Tea,Lemon,Decaf
127,-40,11,99,88,51,27,525,10,Florida,East,Major Market,Herbal Tea,Mint,Decaf
128,-10,53,90,37,63,34,261,11,Massachusetts,East,Major Market,Tea,Darjeeling,Regular
129,9,47,82,35,38,11,196,12,California,West,Major Market,Tea,Earl Grey,Regular
130,-9,36,65,29,45,11,169,13,Connecticut,East,Small Market,Tea,Green Tea,Regular
131,47,92,170,78,45,24,965,1,Florida,East,Major Market,Coffee,Amaretto,Regular
132,30,75,130,55,45,18,312,2,Texas,South,Major Market,Coffee,Columbian,Regular
133,39,105,190,85,66,32,494,3,Florida,East,Major Market,Coffee,Decaf Irish Cream,Decaf
134,140,228,456,228,88,63,1459,4,California,West,Major Market,Espresso,Caffe Latte,Regular
135,17,145,250,105,128,95,725,5,New York,East,Major Market,Espresso,Caffe Mocha,Regular
136,203,312,546,234,109,77,1310,6,Texas,South,Major Market,Espresso,Decaf Espresso,Decaf
137,102,139,234,95,37,26,821,8,California,West,Major Market,Espresso,Regular Espresso,Regular
138,160,245,452,207,85,64,965,9,New York,East,Major Market,Herbal Tea,Chamomile,Decaf
139,67,107,190,83,40,27,623,10,Oklahoma,South,Small Market,Herbal Tea,Lemon,Decaf
140,94,130,219,89,36,24,777,11,Wisconsin,Central,Small Market,Herbal Tea,Mint,Decaf
141,54,80,134,54,26,15,456,12,California,West,Major Market,Tea,Darjeeling,Regular
142,54,108,180,72,54,23,558,13,Texas,South,Major Market,Tea,Earl Grey,Regular
143,-2,50,145,95,52,30,608,1,Ohio,Central,Major Market,Tea,Green Tea,Regular
144,262,407,678,271,145,94,2101,2,Texas,South,Major Market,Coffee,Amaretto,Regular
145,-117,-26,118,144,91,47,862,3,Florida,East,Major Market,Coffee,Columbian,Regular
146,11,26,43,17,15,4,777,4,California,West,Major Market,Coffee,Decaf Irish Cream,Decaf
147,10,27,45,18,17,5,821,5,California,West,Major Market,Espresso,Caffe Latte,Regular
148,11,26,43,17,15,4,777,6,Florida,East,Major Market,Espresso,Caffe Mocha,Regular
149,4,34,62,28,30,8,965,3,Texas,South,Major Market,Espresso,Decaf Espresso,Decaf
150,16,145,250,105,129,95,725,8,Connecticut,East,Small Market,Espresso,Regular Espresso,Regular
151,111,201,345,144,90,47,862,9,Colorado,Central,Major Market,Herbal Tea,Chamomile,Decaf
152,86,139,234,95,53,30,608,10,Oregon,West,Small Market,Herbal Tea,Lemon,Decaf
153,203,312,546,234,109,77,1310,11,Texas,South,Major Market,Herbal Tea,Mint,Decaf
154,141,228,456,228,87,63,1459,12,Massachusetts,East,Major Market,Tea,Darjeeling,Regular
155,-354,-245,17,245,126,93,1419,13,Texas,South,Major Market,Tea,Earl Grey,Regular
156,-3,42,76,34,45,12,197,2,Louisiana,South,Small Market,Tea,Green Tea,Regular
157,16,72,130,58,56,22,338,4,Missouri,Central,Small Market,Coffee,Amaretto,Regular
158,33,80,140,60,47,19,336,5,Oklahoma,South,Small Market,Coffee,Columbian,Regular
159,99,171,341,170,72,47,1091,6,New York,East,Major Market,Coffee,Decaf Irish Cream,Decaf
160,42,83,140,57,41,18,364,3,New Hampshire,East,Small Market,Espresso,Caffe Latte,Regular
161,33,54,90,36,21,10,777,8,New York,East,Major Market,Espresso,Caffe Mocha,Regular
162,29,56,100,44,27,14,623,9,Wisconsin,Central,Small Market,Espresso,Decaf Espresso,Decaf
163,28,48,80,32,20,8,456,11,Ohio,Central,Major Market,Espresso,Regular Espresso,Regular
164,68,126,210,84,58,27,651,12,Massachusetts,East,Major Market,Herbal Tea,Chamomile,Decaf
165,67,116,200,84,49,26,500,13,Illinois,Central,Major Market,Herbal Tea,Lemon,Decaf
166,1,87,150,63,86,57,435,1,California,West,Major Market,Herbal Tea,Mint,Decaf
167,28,93,160,67,65,22,400,2,California,West,Major Market,Tea,Darjeeling,Regular
168,35,62,110,48,27,15,623,4,Illinois,Central,Major Market,Tea,Earl Grey,Regular
169,13,66,120,54,53,20,312,5,New York,East,Major Market,Tea,Green Tea,Regular
170,39,81,150,69,42,21,965,6,Missouri,Central,Small Market,Coffee,Amaretto,Regular
171,9,111,190,79,102,72,551,3,Iowa,Central,Small Market,Coffee,Columbian,Regular
172,115,186,310,124,71,40,961,8,New York,East,Major Market,Coffee,Decaf Irish Cream,Decaf
173,30,51,85,34,21,9,777,9,California,West,Major Market,Espresso,Caffe Latte,Regular
174,70,113,180,67,43,20,400,11,Missouri,Central,Small Market,Espresso,Caffe Mocha,Regular
175,48,89,150,61,41,19,390,12,California,West,Major Market,Espresso,Decaf Espresso,Decaf
176,8,105,180,75,97,68,522,13,Texas,South,Major Market,Espresso,Regular Espresso,Regular
177,38,77,130,53,39,16,338,2,Nevada,West,Small Market,Herbal Tea,Chamomile,Decaf
178,105,144,243,99,39,27,766,1,California,West,Major Market,Herbal Tea,Lemon,Decaf
179,68,107,190,83,39,27,613,2,Illinois,Central,Major Market,Herbal Tea,Mint,Decaf
180,99,137,232,95,38,26,809,3,Iowa,Central,Small Market,Tea,Darjeeling,Regular
181,30,56,100,44,26,14,618,13,Texas,South,Major Market,Tea,Earl Grey,Regular
182,80,112,189,77,32,21,449,5,California,West,Major Market,Tea,Green Tea,Regular
183,59,114,189,75,55,24,549,6,Wisconsin,Central,Small Market,Espresso,Caffe Latte,Regular
184,99,170,340,170,71,47,1073,8,New York,East,Major Market,Espresso,Caffe Mocha,Decaf
185,-3,75,129,54,78,49,427,9,New York,East,Major Market,Herbal Tea,Decaf Espresso,Regular
186,33,80,140,60,47,19,329,10,Colorado,Central,Major Market,Herbal Tea,Regular Espresso,Decaf
187,18,73,132,59,55,22,331,11,Colorado,Central,Major Market,Herbal Tea,Chamomile,Decaf
188,34,74,136,62,40,19,958,12,Florida,East,Major Market,Tea,Lemon,Decaf
189,115,206,354,148,91,48,844,2,Ohio,Central,Major Market,Tea,Mint,Regular
190,95,150,254,104,55,33,596,3,Florida,East,Major Market,Tea,Darjeeling,Regular
191,201,311,545,234,110,77,1282,5,California,West,Major Market,Coffee,Earl Grey,Regular
192,142,229,457,228,87,63,1436,6,Florida,East,Major Market,Coffee,Green Tea,Regular
193,105,144,243,99,39,27,766,8,Illinois,Central,Major Market,Coffee,Amaretto,Regular
194,68,107,190,83,39,27,613,9,Massachusetts,East,Major Market,Espresso,Columbian,Decaf
195,99,137,232,95,38,26,809,10,Nevada,West,Small Market,Espresso,Decaf Irish Cream,Regular
196,79,112,189,77,33,21,449,11,Massachusetts,East,Major Market,Espresso,Caffe Latte,Regular
197,59,114,189,75,55,24,549,12,Florida,East,Major Market,Espresso,Caffe Mocha,Decaf
198,10,27,45,18,17,5,818,1,Utah,West,Small Market,Herbal Tea,Decaf Espresso,Regular
199,6,35,63,28,29,8,961,2,California,West,Major Market,Herbal Tea,Regular Espresso,Decaf
200,12,31,54,23,19,7,620,3,Texas,South,Major Market,Herbal Tea,Chamomile,Decaf
201,11,28,47,19,17,5,774,5,Florida,East,Major Market,Tea,Lemon,Decaf
202,32,43,43,0,11,0,774,6,Illinois,Central,Major Market,Tea,Mint,Regular
203,201,311,545,234,110,77,1282,8,Missouri,Central,Small Market,Tea,Darjeeling,Regular
204,95,150,254,104,55,33,596,9,Texas,South,Major Market,Coffee,Amaretto,Regular
205,141,229,457,228,88,63,1436,11,California,West,Major Market,Coffee,Columbian,Regular
206,169,294,534,240,125,91,1391,12,Texas,South,Major Market,Coffee,Decaf Irish Cream,Decaf
207,42,107,193,86,65,32,484,2,California,West,Major Market,Espresso,Caffe Latte,Regular
208,46,90,165,75,44,23,956,3,Texas,South,Major Market,Espresso,Caffe Mocha,Decaf
209,-4,41,74,33,45,12,193,13,New York,East,Major Market,Espresso,Decaf Espresso,Decaf
210,48,73,123,50,25,14,814,5,Illinois,Central,Major Market,Espresso,Regular Espresso,Decaf
211,38,61,103,42,23,11,771,6,Florida,East,Major Market,Herbal Tea,Chamomile,Regular
212,-8,61,104,43,69,39,256,8,Massachusetts,East,Major Market,Herbal Tea,Lemon,Regular
213,-32,18,102,84,50,26,625,9,California,West,Major Market,Herbal Tea,Mint,Regular
214,9,47,82,35,38,11,191,11,Connecticut,East,Small Market,Tea,Darjeeling,Regular
215,-7,38,68,30,45,11,165,12,Florida,East,Major Market,Tea,Earl Grey,Regular
216,33,80,140,60,47,19,329,1,Texas,South,Major Market,Tea,Green Tea,Decaf
217,38,76,128,52,38,16,357,2,Florida,East,Major Market,Coffee,Amaretto,Regular
218,-3,75,129,54,78,49,427,3,California,West,Major Market,Coffee,Columbian,Regular
219,62,120,200,80,58,26,640,11,New York,East,Major Market,Coffee,Decaf Irish Cream,Decaf
220,71,120,206,86,49,26,490,12,Texas,South,Major Market,Espresso,Caffe Latte,Regular
221,18,73,132,59,55,22,331,6,California,West,Major Market,Espresso,Caffe Mocha,Decaf
222,98,170,340,170,72,47,1073,5,New York,East,Major Market,Espresso,Decaf Espresso,Decaf
223,17,34,56,22,17,6,452,8,Oklahoma,South,Small Market,Espresso,Regular Espresso,Decaf
224,28,48,80,32,20,8,817,9,Wisconsin,Central,Small Market,Herbal Tea,Chamomile,Regular
225,12,65,118,53,53,20,306,1,California,West,Major Market,Herbal Tea,Lemon,Regular
226,15,128,220,92,113,83,541,2,Texas,South,Major Market,Herbal Tea,Mint,Regular
227,50,103,180,77,53,25,423,3,Ohio,Central,Major Market,Tea,Darjeeling,Regular
228,41,81,137,56,40,17,382,11,Texas,South,Major Market,Tea,Earl Grey,Decaf
229,3,90,155,65,87,58,513,12,Florida,East,Major Market,Tea,Green Tea,Regular
230,35,62,110,48,27,15,617,6,California,West,Major Market,Espresso,Caffe Latte,Decaf
231,42,84,154,70,42,21,957,5,California,West,Major Market,Espresso,Caffe Mocha,Decaf
232,66,109,174,65,43,20,372,8,Florida,East,Major Market,Herbal Tea,Decaf Espresso,Decaf
233,43,68,115,47,25,13,772,9,Texas,South,Major Market,Coffee,Amaretto,Regular
234,48,73,123,50,25,14,814,11,Connecticut,East,Small Market,Coffee,Columbian,Regular
235,21,39,66,27,18,7,772,13,Colorado,Central,Major Market,Coffee,Decaf Irish Cream,Regular
236,29,75,130,55,46,18,305,6,Oregon,West,Small Market,Espresso,Caffe Latte,Regular
237,3,90,155,65,87,58,513,5,Texas,South,Major Market,Espresso,Caffe Mocha,Regular
238,121,195,325,130,74,42,945,2,Massachusetts,East,Major Market,Espresso,Decaf Espresso,Decaf
239,41,107,193,86,66,32,484,9,Texas,South,Major Market,Espresso,Regular Espresso,Regular
240,46,90,165,75,44,23,956,10,Connecticut,East,Small Market,Herbal Tea,Chamomile,Regular
241,28,48,80,32,20,8,817,11,Washington,West,Small Market,Herbal Tea,Lemon,Decaf
242,44,68,115,47,24,13,772,13,California,West,Major Market,Herbal Tea,Mint,Regular
243,51,103,180,77,52,25,423,6,Texas,South,Major Market,Tea,Darjeeling,Decaf
244,16,128,220,92,112,83,541,5,New York,East,Major Market,Tea,Earl Grey,Decaf
245,71,120,206,86,49,26,490,3,California,West,Major Market,Tea,Green Tea,Decaf
246,63,120,200,80,57,26,640,2,Texas,South,Major Market,Coffee,Amaretto,Regular
247,34,62,110,48,28,15,617,8,Ohio,Central,Major Market,Coffee,Columbian,Regular
248,12,65,118,53,53,20,306,9,Illinois,Central,Major Market,Coffee,Decaf Irish Cream,Regular
249,42,84,154,70,42,21,957,10,Illinois,Central,Major Market,Espresso,Caffe Latte,Regular
250,28,48,80,32,20,8,817,11,Louisiana,South,Small Market,Espresso,Caffe Mocha,Regular
251,17,34,56,22,17,6,452,13,Ohio,Central,Major Market,Espresso,Decaf Espresso,Decaf
252,99,170,340,170,71,47,1073,7,Florida,East,Major Market,Espresso,Regular Espresso,Regular
253,-4,74,128,54,78,49,451,5,Washington,West,Small Market,Herbal Tea,Chamomile,Regular
254,340,395,470,75,55,24,235,2,Texas,South,Major Market,Herbal Tea,Lemon,Regular
255,18,73,132,59,55,22,331,9,Wisconsin,Central,Small Market,Herbal Tea,Mint,Regular
256,11,27,45,18,16,5,818,11,Texas,South,Major Market,Tea,Darjeeling,Regular
257,32,43,43,0,11,0,774,13,Colorado,Central,Major Market,Tea,Earl Grey,Decaf
258,-6,38,68,30,44,11,165,7,Florida,East,Major Market,Tea,Green Tea,Regular
259,-7,61,104,43,68,39,256,5,Illinois,Central,Major Market,Espresso,Caffe Latte,Regular
260,25,60,101,41,35,13,236,1,California,West,Major Market,Espresso,Caffe Mocha,Regular
261,23,69,114,45,46,14,366,2,Illinois,Central,Major Market,Herbal Tea,Decaf Espresso,Regular
262,-4,41,74,33,45,12,193,9,Missouri,Central,Small Market,Tea,Green Tea,Regular
263,100,137,232,95,37,26,809,11,New York,East,Major Market,Espresso,Caffe Latte,Decaf
264,105,144,243,99,39,27,766,12,Louisiana,South,Small Market,Espresso,Caffe Mocha,Regular
265,79,112,189,77,33,21,449,13,Iowa,Central,Small Market,Herbal Tea,Decaf Espresso,Regular
266,264,352,580,228,88,63,1402,7,Florida,East,Major Market,Coffee,Amaretto,Regular
267,-203,-60,61,121,143,110,901,5,California,West,Major Market,Coffee,Columbian,Regular
268,245,387,645,258,142,90,2067,2,Texas,South,Major Market,Coffee,Decaf Irish Cream,Decaf
269,131,255,495,240,124,91,1454,9,Ohio,Central,Major Market,Espresso,Caffe Latte,Regular
270,-120,-33,180,213,87,66,1214,10,Louisiana,South,Small Market,Espresso,Caffe Mocha,Regular
271,65,109,174,65,44,20,372,5,Massachusetts,East,Major Market,Espresso,Decaf Espresso,Decaf
272,41,81,137,56,40,17,382,6,New York,East,Major Market,Espresso,Regular Espresso,Regular
273,35,63,112,49,28,16,617,8,Massachusetts,East,Major Market,Herbal Tea,Chamomile,Decaf
274,42,107,193,86,65,32,484,9,Florida,East,Major Market,Herbal Tea,Lemon,Decaf
275,2,90,155,65,88,58,342,4,Washington,West,Small Market,Herbal Tea,Mint,Decaf
276,34,56,94,38,22,10,772,2,Texas,South,Major Market,Tea,Darjeeling,Regular
277,44,68,115,47,24,13,772,3,Florida,East,Major Market,Tea,Earl Grey,Regular
278,-7,61,104,43,68,39,256,5,Oklahoma,South,Small Market,Tea,Green Tea,Regular
279,8,47,82,35,39,11,191,6,Florida,East,Major Market,Coffee,Amaretto,Regular
280,10,27,45,18,17,5,818,8,California,West,Major Market,Coffee,Columbian,Regular
281,5,35,63,28,30,8,961,9,Texas,South,Major Market,Coffee,Decaf Irish Cream,Decaf
282,-7,38,68,30,45,11,104,4,Massachusetts,East,Major Market,Espresso,Caffe Latte,Regular
283,24,69,114,45,45,14,366,2,Wisconsin,Central,Small Market,Espresso,Caffe Mocha,Regular
284,-31,18,102,84,49,26,625,3,California,West,Major Market,Espresso,Decaf Espresso,Decaf
285,70,120,206,86,50,26,300,4,Missouri,Central,Small Market,Espresso,Regular Espresso,Regular
286,17,34,56,22,17,6,452,5,Ohio,Central,Major Market,Herbal Tea,Chamomile,Decaf
287,63,120,200,80,57,26,640,6,Washington,West,Small Market,Herbal Tea,Lemon,Decaf
288,11,65,118,53,54,20,306,8,Texas,South,Major Market,Herbal Tea,Mint,Decaf
289,15,128,220,92,113,83,541,9,Texas,South,Major Market,Tea,Darjeeling,Regular
290,29,56,100,44,27,14,618,2,Utah,West,Small Market,Tea,Earl Grey,Regular
291,29,48,80,32,19,8,817,3,Ohio,Central,Major Market,Tea,Green Tea,Regular
292,58,114,189,75,56,24,378,4,Texas,South,Major Market,Coffee,Amaretto,Regular
293,106,144,243,99,38,27,766,5,Connecticut,East,Small Market,Coffee,Columbian,Regular
294,80,112,189,77,32,21,449,6,Oregon,West,Small Market,Coffee,Decaf Irish Cream,Decaf
295,33,80,140,60,47,19,329,8,Louisiana,South,Small Market,Espresso,Caffe Latte,Regular
296,38,76,128,52,38,16,357,9,New Mexico,South,Small Market,Espresso,Caffe Mocha,Regular
